sample	gene	n_cpgs	methylated_count	total_count	weighted_average
nb22	g636	22	20	436	4.5872
nb22	g637	33	0	462	0.0
nb22	g638	27	1	460	0.2174
nb22	g640	12	0	196	0.0
nb22	g641	81	0	1264	0.0
nb22	g642	15	0	276	0.0
nb22	g644	7	0	120	0.0
nb22	g649	5	0	88	0.0
nb22	g651	8	0	98	0.0
nb22	g652	1	11	11	100.0
nb22	g653	5	0	73	0.0
nb22	g657	32	5	409	1.2225
nb22	g658	5	42	67	62.6866
nb22	g659	9	0	120	0.0
nb22	g660	11	131	165	79.3939
nb22	g661	1	9	11	81.8182
nb22	g662	11	131	170	77.0588
nb22	g663	3	0	65	0.0
nb22	g664	51	4	839	0.4768
nb22	g665	27	2	376	0.5319
nb22	g666	143	15	2387	0.6284
nb22	g667	7	7	99	7.0707
nb22	g668	16	0	202	0.0
nb22	g672	1	0	14	0.0
nb22	g674	3	0	40	0.0
nb22	g676	2	24	31	77.4194
nb22	g677	9	0	306	0.0
nb22	g678	64	1	3144	0.0318
nb22	g681	9	0	125	0.0
nb22	g682	70	0	1030	0.0
nb22	g686	21	1	439	0.2278
nb22	g687	7	56	108	51.8519
nb22	g690	3	0	55	0.0
nb22	g694	29	1	964	0.1037
nb22	g695	15	17	168	10.119
nb22	g699	16	0	238	0.0
nb22	g701	19	0	271	0.0
nb22	g702	29	1	428	0.2336
nb22	g705	106	2	1574	0.1271
nb22	g707	20	1	376	0.266
nb22	g708	2	0	27	0.0
nb22	g710	12	0	154	0.0
nb22	g711	50	0	723	0.0
nb22	g718	11	0	145	0.0
nb22	g719	17	0	222	0.0
nb22	g723	26	0	395	0.0
nb22	g724	36	0	485	0.0
nb22	g725	5	0	69	0.0
nb22	g726	6	0	86	0.0
nb22	g727	17	0	306	0.0
nb22	g728	159	47	3186	1.4752
nb22	g731	33	47	1601	2.9357
nb22	g732	24	62	1146	5.4101
nb22	g733	14	21	530	3.9623
nb22	g734	58	430	1614	26.6419
nb22	g735	37	0	825	0.0
nb22	g736	52	282	1084	26.0148
nb22	g737	8	0	142	0.0
nb22	g738	64	2	1131	0.1768
nb22	g739	8	112	174	64.3678
nb22	g740	3	0	36	0.0
nb22	g741	36	0	579	0.0
nb22	g742	1	0	13	0.0
nb22	g744	38	1	550	0.1818
nb22	g745	7	0	85	0.0
nb22	g746	55	0	878	0.0
nb22	g747	3	47	50	94.0
nb22	g754	14	0	232	0.0
nb22	g755	1	0	12	0.0
nb22	g756	12	0	153	0.0
nb22	g757	21	6	332	1.8072
nb22	g758	104	4	1824	0.2193
nb22	g762	59	1	857	0.1167
nb22	g763	54	0	773	0.0
nb22	g764	21	0	360	0.0
nb22	g765	4	0	56	0.0
nb22	g766	206	1	3444	0.029
nb22	g769	58	0	1383	0.0
nb22	g775	5	48	64	75.0
nb22	g776	17	417	729	57.2016
nb22	g778	29	0	473	0.0
nb22	g780	34	0	500	0.0
nb22	g782	56	16	958	1.6701
nb22	g783	1	0	14	0.0
nb22	g792	14	0	182	0.0
nb22	g793	1	7	11	63.6364
nb22	g795	1	0	14	0.0
nb22	g796	1	0	10	0.0
nb22	g798	27	1	534	0.1873
nb22	g799	38	12	532	2.2556
nb22	g800	29	0	474	0.0
nb22	g801	34	0	493	0.0
nb22	g802	8	1	107	0.9346
nb22	g803	23	0	427	0.0
nb22	g804	44	3	712	0.4213
nb22	g805	2	0	33	0.0
nb22	g806	20	0	399	0.0
nb22	g807	18	0	196	0.0
nb22	g812	1	0	13	0.0
nb22	g813	3	0	40	0.0
nb22	g814	64	0	1039	0.0
nb22	g815	20	6	350	1.7143
nb22	g816	31	0	431	0.0
nb22	g817	25	0	362	0.0
nb22	g820	269	175	17402	1.0056
nb22	g821	33	1	2850	0.0351
nb22	g822	7	0	342	0.0
nb22	g823	8	0	383	0.0
nb22	g824	29	0	534	0.0
nb22	g829	1	0	17	0.0
nb22	g830	43	266	869	30.6099
nb22	g834	7	0	119	0.0
nb22	g835	23	53	419	12.6492
nb22	g838	15	0	286	0.0
nb22	g839	5	0	58	0.0
nb22	g840	31	0	486	0.0
nb22	g841	36	2	773	0.2587
nb22	g842	36	0	721	0.0
nb22	g844	85	14	1296	1.0802
nb22	g850	3	0	64	0.0
nb22	g851	171	409	3382	12.0934
nb22	g855	1	2	16	12.5
nb22	g856	3	13	40	32.5
nb22	g861	3	33	35	94.2857
nb22	g862	9	30	142	21.1268
nb22	g863	8	190	338	56.213
nb22	g864	1	12	13	92.3077
nb22	g865	1	8	10	80.0
nb22	g867	77	53	1697	3.1232
nb22	g868	28	0	396	0.0
nb22	g869	1	14	17	82.3529
nb22	g870	4	14	50	28.0
nb22	g871	3	0	56	0.0
nb22	g872	9	0	125	0.0
nb22	g875	20	54	394	13.7056
nb22	g876	10	0	202	0.0
nb22	g877	68	421	3754	11.2147
nb22	g878	15	0	217	0.0
nb22	g881	1	8	10	80.0
nb22	g884	74	773	1327	58.2517
nb22	g887	45	16	3522	0.4543
nb22	g895	60	0	872	0.0
nb22	g897	66	516	2022	25.5193
nb22	g898	20	0	286	0.0
nb22	g900	22	0	346	0.0
nb22	g901	157	3	3075	0.0976
nb22	g902	19	0	279	0.0
nb22	g903	3	0	39	0.0
nb22	g904	109	44	3338	1.3182
nb22	g905	15	169	225	75.1111
nb22	g907	21	0	270	0.0
nb22	g908	35	1	623	0.1605
nb22	g910	5	0	52	0.0
nb22	g913	55	2	802	0.2494
nb22	g914	40	2	1018	0.1965
nb22	g919	34	1	792	0.1263
nb22	g921	11	0	316	0.0
nb22	g922	148	0	2175	0.0
nb22	g925	33	22	1423	1.546
nb22	g929	24	0	425	0.0
nb22	g931	24	13	472	2.7542
nb22	g933	23	0	286	0.0
nb22	g935	20	5	319	1.5674
nb22	g936	141	2	1980	0.101
nb22	g939	72	4	1184	0.3378
nb22	g940	14	0	161	0.0
nb22	g941	30	1	474	0.211
nb22	g942	18	2	1602	0.1248
nb22	g952	53	9	796	1.1307
nb22	g953	7	0	119	0.0
nb22	g954	48	0	917	0.0
nb22	g956	1	0	10	0.0
nb22	g958	114	1	2041	0.049
nb22	g959	3	1	47	2.1277
nb22	g960	23	0	438	0.0
nb22	g962	162	1	2608	0.0383
nb22	g963	22	0	311	0.0
nb22	g964	55	0	819	0.0
nb22	g965	19	0	288	0.0
nb22	g966	19	4	227	1.7621
nb22	g969	39	35	1614	2.1685
nb22	g970	28	144	1982	7.2654
nb22	g971	37	334	2312	14.4464
nb22	g972	17	113	549	20.5829
nb22	g974	72	7	1403	0.4989
